Group,AvgRet,Alpha
AutoCorr_G01,0.2421,-0.106
AutoCorr_G02,1.6916,1.4869
AutoCorr_G03,0.6616,0.0881
HML,0.4194,0.1941
t,0.3773,0.1944
p,0.7112,0.8476
