Group,AvgRet,Alpha
Beta_abs_intra_G01,1.7313,1.5672
Beta_abs_intra_G02,0.2515,-0.152
Beta_abs_intra_G03,0.358,-0.262
HML,-1.3733,-1.8292
t,-1.6073,-2.9505
p,0.1288,0.0074
