Group,AvgRet,Alpha
BQ100_G01,1.2953,0.8511
BQ100_G02,0.4266,0.0307
BQ100_G03,-0.1072,-0.5561
HML,-1.4025,-1.4072
t,-1.7576,-2.3366
p,0.0992,0.029
