Trddt,conBeta,disconBeta,Stkcd
2005-07-11,1.7952227776298357,1.5776434006540263,8
2005-07-12,1.8189042920365148,1.5003129920524616,8
2005-07-13,1.8552176575225692,1.4991645057344893,8
2005-07-14,1.8444942546673666,1.5007198260170618,8
2005-07-15,1.8685371795570243,1.5053385133727948,8
2005-07-18,1.872025295166715,1.5059527176753216,8
2005-07-19,1.8983153754925557,1.5163937369887461,8
2005-07-20,1.9074645747865095,1.5126937852621354,8
2005-07-21,1.895083343444791,1.5111082365461956,8
2005-07-22,1.8960969475865024,1.5138481266470474,8
2005-07-25,1.8943023877577776,1.5135203598334421,8
2005-07-26,1.897019256624746,1.5140622480185684,8
2005-07-27,1.8926484783281772,1.5080598503138958,8
2005-07-28,1.9084703941694436,1.5092849215201973,8
2005-07-29,1.8194954501216296,1.4565577397142766,8
2005-08-01,1.8202672075839261,1.4539891899273651,8
2005-08-02,1.8165744754512985,1.4605797004897607,8
2005-08-03,1.745987566875894,1.449966071896946,8
2005-08-04,1.7402791143361704,1.4476315566528675,8
2005-08-05,1.7428069625169884,1.4432007178179653,8
2005-08-08,1.7193846317687818,1.4273550398550436,8
2005-08-09,1.6903547022121426,1.4107879628079858,8
2005-08-10,1.6922616571390627,1.4051209248090866,8
2005-08-11,1.6657674303119017,1.4021362620537547,8
2005-08-16,1.6602494093225528,1.3983054848510255,8
2005-08-17,1.6639457627970962,1.4005231450576432,8
2005-08-18,1.6397227570775292,1.443599618795715,8
2005-08-19,1.6618851638689927,1.5625935620457556,8
2005-08-22,1.6517020894755887,1.566417488458448,8
2005-08-23,1.645033919659671,1.563933338418283,8
2005-08-24,1.6488404870163347,1.558142311241252,8
2005-08-25,1.642547566470282,1.5590240748889699,8
2005-08-26,1.6631815969919204,1.5615814284012277,8
2005-08-29,1.668219489972132,1.5608987970209058,8
2005-08-30,1.6798909454621207,1.5604280169617943,8
2005-08-31,1.6653816778581096,1.558376518816316,8
2005-09-01,1.6872497021668162,1.545052988809538,8
2005-09-02,1.7107287118533399,1.509804048073353,8
2005-09-05,1.7800463853451103,1.976945710227929,8
2005-09-06,1.8192899840790915,1.9761807655886743,8
2005-09-07,1.8259334449514293,1.9738906774943312,8
2005-09-09,1.812740552470666,2.0083735870291637,8
2005-09-12,1.8481989364945248,2.0092089524904835,8
2005-09-13,1.8648092394095324,2.013573649191048,8
2005-09-14,1.848245542815291,2.0097280677485765,8
2005-09-15,1.872051318073876,2.0124060468634672,8
2005-09-16,1.809207108483567,1.9818216107532076,8
2005-09-19,1.8094452570504846,1.9855366957331446,8
2005-09-20,1.788290704872483,1.9842849921770682,8
2005-09-21,1.763027102947817,1.982048255357707,8
2005-09-22,1.7521063819879432,1.9882903608944424,8
2005-09-26,1.7614483728737549,1.9926186806485398,8
2005-09-27,1.7749590811877782,1.9947606928130068,8
2005-09-28,1.7744874367211836,1.9953209056120742,8
2005-09-29,1.773927372417796,1.99203091439619,8
2005-09-30,1.7453525172650526,1.9868921490021187,8
2005-10-10,1.7121159974423574,1.987907555776247,8
2005-10-11,1.709053853638327,1.9789042556110705,8
2005-10-12,1.705405980658606,1.9743978192094642,8
2005-10-13,1.6961675565379666,1.9574317998760176,8
2005-10-27,1.6798693832683735,1.9688935198079807,8
2005-10-28,1.6102916735947745,2.9749652247034244,8
2005-11-01,1.5738467353957948,3.0187948224728056,8
2005-11-02,1.57524926761602,3.0215282352210777,8
2005-11-03,1.5391676370153224,3.0206010758656743,8
2005-11-04,1.5591191709856476,3.0194616539122725,8
2005-11-07,1.509489230947481,3.0150215889421417,8
2005-11-09,1.4757904219893785,3.0222846385527227,8
2005-11-10,1.474797894927039,3.026035099917873,8
2005-12-13,1.4878710330463993,3.1094162892632387,8
2005-12-14,1.490812582238698,3.1118952007152663,8
2005-12-15,1.4658275617190542,3.130508515460825,8
2005-12-16,1.4702772547501088,3.1435602481674554,8
2005-12-19,1.4327369333006985,3.156222746872385,8
2005-12-20,1.418711697240897,3.158853510330612,8
2005-12-21,1.412652571905934,3.169043318007539,8
2005-12-22,1.4070960054441566,3.173374707071225,8
2005-12-23,1.3932981397312567,3.1735177081037453,8
2005-12-26,1.3770031788845467,3.174867774327092,8
2005-12-27,1.3618172789516743,3.1850417569741563,8
2005-12-28,1.3485323339613753,3.180556936544215,8
2005-12-29,1.3572564088100498,3.1827846362239347,8
2005-12-30,1.3239014443149169,3.198795614311293,8
