Group_Beta_abs_intra,ME_G01,ME_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.0742,4.3703,2.6386,2.7885
Beta_abs_intra_G02,3.0852,2.5934,2.6194,-1.389
Beta_abs_intra_G03,0.7804,-0.0933,0.6212,0.1341
HML,-1.2939,-4.4636,-2.0175,-2.6544
t,-0.7742,-3.2915,-2.0528,-1.3147
p,0.4642,0.0302,0.0792,0.2022
