Group_AutoCorr,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
AutoCorr_G01,0.7651,2.1657,1.5007,-0.9833
AutoCorr_G02,1.4852,2.4673,1.4581,-4.3924
AutoCorr_G03,2.91,1.6791,2.5141,-4.458
HML,2.1449,-0.4865,1.0134,-3.4747
t,1.5797,-0.5061,0.7302,-2.0437
p,0.1582,0.6394,0.489,0.0531
