Group_AutoCorr,IVOL_G01,IVOL_G03,AvgRet,Alpha
AutoCorr_G01,0.6934,1.5477,0.5009,-0.6406
AutoCorr_G02,2.7116,0.7779,2.1495,2.2322
AutoCorr_G03,0.9341,3.539,1.7825,0.3089
HML,0.2407,1.9914,1.2816,0.9495
t,0.1309,1.0893,1.3001,0.279
p,0.8996,0.3372,0.2347,0.7829
