Group_Square,BM_G01,BM_G03,AvgRet,Alpha
Square_G01,1.3372,0.7091,1.1097,-0.6294
Square_G02,2.1028,4.3755,2.4801,0.5393
Square_G03,0.7504,2.8194,1.2125,-0.5756
HML,-0.5868,2.1103,0.1028,0.0537
t,-0.3063,1.0296,0.0591,0.0175
p,0.7683,0.3614,0.9545,0.9862
