Group_Square,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
Square_G01,1.9122,1.5482,1.6341,-2.623
Square_G02,0.7323,2.4673,1.5786,-1.209
Square_G03,2.5157,2.2966,2.2603,-6.0017
HML,0.6035,0.7484,0.6263,-3.3787
t,0.8562,0.7256,0.7614,-2.682
p,0.4202,0.5083,0.4713,0.0136
