Group_AutoCorr,MIN_G01,MIN_G03,AvgRet,Alpha
AutoCorr_G01,1.0204,-1.4207,-0.0611,-0.3452
AutoCorr_G02,3.3075,3.2812,3.0475,1.1463
AutoCorr_G03,1.978,3.4015,2.2354,2.424
HML,0.9576,4.8222,2.2965,2.7692
t,1.1212,2.5085,2.2703,1.4494
p,0.2992,0.0662,0.0575,0.1613
