Group_BQ100,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
BQ100_G01,2.5381,2.511,2.3142,-0.1736
BQ100_G02,1.7211,2.9444,1.9575,1.1133
BQ100_G03,2.4984,1.5884,2.0823,-6.6362
HML,-0.0397,-0.9225,-0.2319,-6.4626
t,-0.0207,-0.4065,-0.1356,-2.9199
p,0.9841,0.7052,0.896,0.0079
