Group_Square,CSK_G01,CSK_G03,AvgRet,Alpha
Square_G01,2.8201,1.7311,2.1425,-0.6596
Square_G02,2.1988,1.6204,1.9386,0.5277
Square_G03,3.6953,1.5431,3.0769,-3.1209
HML,0.8752,-0.188,0.9344,-2.4613
t,0.4619,-0.0957,0.6862,-1.1728
p,0.6582,0.9284,0.5147,0.2534
