Group_AutoCorr,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
AutoCorr_G01,1.3826,1.92,1.0846,-1.9104
AutoCorr_G02,1.9521,2.3084,1.9579,0.9417
AutoCorr_G03,2.9415,0.3586,1.9382,-2.5284
HML,1.559,-1.5614,0.8536,-0.618
t,5.8919,-0.5046,0.8209,-0.2275
p,0.0006,0.6404,0.4388,0.8221
