Group_Square,MAX_G01,MAX_G03,AvgRet,Alpha
Square_G01,2.4226,1.6303,1.7274,-2.1178
Square_G02,1.6029,3.0362,2.752,-4.9107
Square_G03,2.3927,1.593,1.9754,0.2057
HML,-0.0299,-0.0373,0.248,2.3235
t,-0.0213,-0.0319,0.265,1.0138
p,0.9836,0.9761,0.7986,0.3217
