Group_Beta_abs_intra,CKT_G01,CKT_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.5846,4.6311,2.2305,-0.1304
Beta_abs_intra_G02,3.4671,1.2907,2.4032,2.2725
Beta_abs_intra_G03,1.0824,1.6365,0.7063,-4.0569
HML,-0.5022,-2.9945,-1.5242,-3.9265
t,-0.2587,-1.3316,-1.3667,-2.1345
p,0.8033,0.2538,0.214,0.0442
