Group_BQ100,CSK_G01,CSK_G03,AvgRet,Alpha
BQ100_G01,2.5012,3.2598,2.5187,-1.9134
BQ100_G02,3.0932,-0.679,1.6094,0.5021
BQ100_G03,3.1197,2.3138,3.03,-1.8416
HML,0.6186,-0.9461,0.5113,0.0718
t,0.3128,-1.4323,0.3194,0.0201
p,0.7636,0.2253,0.7588,0.9842
