Group_BQ100,MIN_G01,MIN_G03,AvgRet,Alpha
BQ100_G01,2.7716,2.862,2.7949,-0.0033
BQ100_G02,1.6266,0.1726,0.9286,-1.2135
BQ100_G03,1.9077,2.2274,1.4983,4.4417
HML,-0.864,-0.6347,-1.2966,4.445
t,-0.905,-0.2617,-1.4218,6.9757
p,0.3955,0.8065,0.1981,0.0
