Group_AutoCorr,beta_G01,beta_G03,AvgRet,Alpha
AutoCorr_G01,1.487,0.7033,0.8088,-1.7853
AutoCorr_G02,2.502,0.1737,1.5658,1.6634
AutoCorr_G03,2.9871,0.3586,1.961,-2.5039
HML,1.5001,-0.3447,1.1522,-0.7186
t,5.4705,-0.2103,2.0741,-0.3112
p,0.0009,0.8437,0.0767,0.7586
