Group_BQ100,MAX_G01,MAX_G03,AvgRet,Alpha
BQ100_G01,3.0539,2.5899,3.1155,-4.0399
BQ100_G02,0.9716,2.0767,1.3638,-2.9887
BQ100_G03,2.3927,1.593,1.9754,0.2057
HML,-0.6612,-0.9969,-1.1401,4.2456
t,-0.3052,-0.5449,-0.7725,3.0729
p,0.7691,0.6148,0.4651,0.0056
