Group_Square,ME_G01,ME_G03,AvgRet,Alpha
Square_G01,1.9471,2.2434,1.9183,0.0729
Square_G02,2.3669,1.6365,2.1282,-3.6754
Square_G03,1.6259,2.9905,1.8326,5.1362
HML,-0.3212,0.7471,-0.0857,5.0633
t,-0.2062,0.4371,-0.0715,4.9234
p,0.8425,0.6846,0.945,0.0001
