Group_Square,CKT_G01,CKT_G03,AvgRet,Alpha
Square_G01,3.5075,2.1193,2.6598,-0.6677
Square_G02,1.4426,1.7777,1.4654,-2.0575
Square_G03,1.184,3.6614,1.2148,0.8104
HML,-2.3235,1.542,-1.4449,1.4781
t,-2.1691,0.8936,-1.4122,0.3711
p,0.0667,0.422,0.2008,0.7141
