Group_Square,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
Square_G01,2.3708,2.939,2.2806,-0.8515
Square_G02,2.2503,2.5164,2.353,2.1181
Square_G03,2.1365,1.5884,1.7204,-6.9632
HML,-0.2342,-1.3505,-0.5602,-6.1117
t,-0.1998,-0.751,-0.4393,-4.0668
p,0.8473,0.4944,0.6737,0.0005
