Group_AutoCorr,CSK_G01,CSK_G03,AvgRet,Alpha
AutoCorr_G01,1.2866,1.1931,1.224,1.1098
AutoCorr_G02,2.6994,2.314,2.3221,-2.7075
AutoCorr_G03,4.7282,1.3875,3.6119,-1.6551
HML,3.4416,0.1944,2.3879,-2.7649
t,3.863,0.1764,2.317,-2.8874
p,0.0062,0.8686,0.0536,0.0085
