Group_AutoCorr,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
AutoCorr_G01,1.3311,0.3548,0.7658,-2.8652
AutoCorr_G02,3.37,3.3182,3.3508,2.1322
AutoCorr_G03,2.0565,3.3708,2.2374,-4.9635
HML,0.7254,3.016,1.4715,-2.0983
t,0.7496,4.382,1.4661,-1.2482
p,0.478,0.0119,0.186,0.2251
