Group,AvgRet,Alpha
BQ100_G01,1.1297,0.6683
BQ100_G02,1.4712,1.2444
BQ100_G03,-0.5983,-1.1553
HML,-1.7279,-1.8236
t,-1.698,-2.5068
p,0.1101,0.0201
