Group,AvgRet,Alpha
AutoCorr_G01,1.2091,0.6463
AutoCorr_G02,-0.4681,-0.8162
AutoCorr_G03,-0.0018,-0.2997
HML,-1.2109,-0.946
t,-1.1329,-0.9046
p,0.275,0.3755
