Group,AvgRet,Alpha
Square_G01,1.3449,0.9669
Square_G02,0.8905,0.5439
Square_G03,-0.0073,-0.577
HML,-1.3522,-1.5439
t,-2.7331,-4.0488
p,0.0154,0.0005
