Group,AvgRet,Alpha
Beta_abs_intra_G01,1.9857,1.7393
Beta_abs_intra_G02,0.8744,0.297
Beta_abs_intra_G03,-0.4155,-0.913
HML,-2.4012,-2.6523
t,-2.5243,-4.1156
p,0.0234,0.0005
