Group,AvgRet,Alpha
Beta_abs_intra_G01,2.4377,2.2802
Beta_abs_intra_G02,-0.0566,-0.7875
Beta_abs_intra_G03,-0.0004,-0.4124
HML,-2.4381,-2.6926
t,-2.6238,-3.7303
p,0.0192,0.0012
