Group,AvgRet,Alpha
AutoCorr_G01,0.8999,0.3585
AutoCorr_G02,0.3457,0.2419
AutoCorr_G03,0.0403,-0.8447
HML,-0.8596,-1.2032
t,-0.6459,-1.1732
p,0.5281,0.2532
