Group,AvgRet,Alpha
Square_G01,1.3131,0.9405
Square_G02,1.3256,0.8614
Square_G03,-0.252,-0.6638
HML,-1.5651,-1.6044
t,-3.1826,-3.8893
p,0.0062,0.0008
