Group,AvgRet,Alpha
BQ100_G01,0.6714,0.3656
BQ100_G02,1.7764,1.543
BQ100_G03,-0.604,-1.2909
HML,-1.2754,-1.6565
t,-1.5084,-2.0331
p,0.1522,0.0543
