Group,AvgRet,Alpha
Square_G01,0.9157,0.5439
Square_G02,0.789,0.1105
Square_G03,0.2396,0.1262
HML,-0.6761,-0.4177
t,-1.1486,-0.6239
p,0.2687,0.5391
