Group,AvgRet,Alpha
BQ100_G01,0.9114,0.42
BQ100_G02,1.1243,1.1625
BQ100_G03,-0.3925,-0.9321
HML,-1.3038,-1.3521
t,-1.5669,-2.2057
p,0.138,0.0382
