Group,AvgRet,Alpha
AutoCorr_G01,0.5828,0.1699
AutoCorr_G02,0.6676,0.8055
AutoCorr_G03,0.2033,-0.5425
HML,-0.3796,-0.7125
t,-0.5988,-1.245
p,0.5582,0.2262
