Group_AutoCorr,CSK_G01,CSK_G03,AvgRet,Alpha
AutoCorr_G01,2.3244,1.9798,1.963,-1.9948
AutoCorr_G02,3.2671,1.5274,2.9251,-0.3893
AutoCorr_G03,3.1226,1.3875,2.2699,-0.8688
HML,0.7983,-0.5923,0.3068,1.126
t,1.1798,-0.2888,0.2688,1.7302
p,0.2766,0.787,0.7958,0.0976
