Group_Square,ILLIQ_G01,ILLIQ_G03,AvgRet,Alpha
Square_G01,2.3708,2.939,2.2806,-0.8515
Square_G02,1.9218,1.4692,1.8614,1.3398
Square_G03,2.4651,2.6357,2.212,-6.1849
HML,0.0943,-0.3033,-0.0687,-5.3334
t,0.0742,-0.1914,-0.064,-3.7294
p,0.9429,0.8575,0.9507,0.0012
