Group_Beta_abs_intra,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.7945,0.6807,2.1444,-5.4839
Beta_abs_intra_G02,1.3003,3.3904,2.3757,-0.2762
Beta_abs_intra_G03,1.0654,2.241,0.9529,-4.0735
HML,-1.7291,1.5603,-1.1915,1.4104
t,-2.2086,2.8749,-1.2853,0.3845
p,0.0629,0.0452,0.2396,0.7043
