Group_BQ100,CSK_G01,CSK_G03,AvgRet,Alpha
BQ100_G01,2.334,1.0988,1.6762,-1.5958
BQ100_G02,2.0303,2.2241,2.0687,0.3827
BQ100_G03,4.3498,1.5717,3.4131,-2.0397
HML,2.0157,0.4729,1.7369,-0.4439
t,1.2823,0.6808,1.3317,-0.1906
p,0.2406,0.5334,0.2247,0.8506
