Group_AutoCorr,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
AutoCorr_G01,2.8656,2.3567,2.4297,0.281
AutoCorr_G02,1.5307,0.6816,0.9706,-2.094
AutoCorr_G03,1.8799,1.5488,1.5804,-1.6841
HML,-0.9857,-0.8078,-0.8493,-1.9651
t,-1.069,-0.4423,-0.6793,-1.1633
p,0.3205,0.6811,0.5188,0.2572
