Group_Beta_abs_intra,IVOL_G01,IVOL_G03,AvgRet,Alpha
Beta_abs_intra_G01,2.5688,2.3054,2.157,3.341
Beta_abs_intra_G02,0.844,0.0331,0.2257,0.439
Beta_abs_intra_G03,0.9263,3.526,2.0501,-1.8797
HML,-1.6424,1.2206,-0.1069,-5.2207
t,-1.0325,0.4102,-0.1215,-3.5044
p,0.3362,0.7027,0.9067,0.002
