Group_Beta_abs_intra,Beta_neg_G01,Beta_neg_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.6836,3.1662,1.9877,-0.4716
Beta_abs_intra_G02,2.1,1.9043,1.6373,-2.2785
Beta_abs_intra_G03,2.4926,-0.4835,1.3557,-0.7469
HML,0.809,-3.6497,-0.632,-0.2753
t,0.8529,-1.8261,-0.941,-0.1392
p,0.4219,0.1419,0.3781,0.8905
