Group_Square,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
Square_G01,1.9122,2.1251,1.8144,-2.7669
Square_G02,0.7323,1.8904,1.3983,-1.0651
Square_G03,2.5157,2.2966,2.2603,-6.0017
HML,0.6035,0.1715,0.446,-3.2347
t,0.8562,0.1891,0.541,-2.3858
p,0.4202,0.8592,0.6053,0.0261
