Group_Beta_abs_intra,BM_G01,BM_G03,AvgRet,Alpha
Beta_abs_intra_G01,1.6085,1.7958,1.3739,1.6833
Beta_abs_intra_G02,2.3035,3.8607,2.5777,-0.9268
Beta_abs_intra_G03,0.2784,2.2475,0.8507,-1.4222
HML,-1.3301,0.4517,-0.5232,-3.1054
t,-1.1241,0.4885,-0.6831,-1.6477
p,0.2981,0.6508,0.5165,0.1136
