Group_AutoCorr,IVOL_G01,IVOL_G03,AvgRet,Alpha
AutoCorr_G01,1.6792,0.5902,1.1874,2.7916
AutoCorr_G02,1.7088,2.6151,1.6639,-2.1232
AutoCorr_G03,0.9511,2.6592,1.5816,1.232
HML,-0.728,2.069,0.3941,-1.5596
t,-0.3026,1.8754,0.2664,-0.5214
p,0.771,0.134,0.7976,0.6073
