Group_AutoCorr,MIN_G01,MIN_G03,AvgRet,Alpha
AutoCorr_G01,2.5566,-1.3982,0.8263,2.681
AutoCorr_G02,0.787,5.4173,2.0948,0.9071
AutoCorr_G03,2.9622,1.2429,2.3007,-0.3631
HML,0.4056,2.6411,1.4744,-3.0441
t,0.4557,0.8549,1.4113,-1.8908
p,0.6624,0.4408,0.201,0.0719
