Group_Square,beta_G01,beta_G03,AvgRet,Alpha
Square_G01,1.9259,-0.5342,0.7504,-1.3131
Square_G02,2.4681,0.4408,1.5813,0.285
Square_G03,2.582,1.329,2.0039,-1.5977
HML,0.6561,1.8632,1.2535,-0.2847
t,0.588,1.0238,0.8922,-0.1608
p,0.575,0.3638,0.4019,0.8737
