Group_BQ100,CKT_G01,CKT_G03,AvgRet,Alpha
BQ100_G01,3.185,1.4095,2.1154,-1.1939
BQ100_G02,0.7155,1.9847,1.1302,-0.8394
BQ100_G03,2.2337,4.1642,2.0944,0.1184
HML,-0.9513,2.7547,-0.021,1.3123
t,-1.1429,2.5254,-0.0272,0.6141
p,0.2907,0.065,0.979,0.5455
