Group_BQ100,RSJ_G01,RSJ_G03,AvgRet,Alpha
BQ100_G01,2.5212,0.9825,2.2633,-3.4577
BQ100_G02,2.9805,-0.572,2.0182,-1.0563
BQ100_G03,3.033,3.137,2.7856,0.2227
HML,0.5119,2.1545,0.5223,3.6805
t,0.3485,2.6049,0.3787,1.6432
p,0.7377,0.0597,0.7161,0.1146
