Group_Square,CKT_G01,CKT_G03,AvgRet,Alpha
Square_G01,3.185,1.4917,2.1411,-1.086
Square_G02,1.1106,2.4053,1.6567,-1.378
Square_G03,1.8385,3.6614,1.5421,0.5492
HML,-1.3465,2.1696,-0.599,1.6351
t,-2.23,1.5476,-0.8872,0.5102
p,0.061,0.1966,0.4044,0.615
