Group_BQ100,ME_G01,ME_G03,AvgRet,Alpha
BQ100_G01,2.6909,2.1612,2.2646,0.3639
BQ100_G02,0.1387,1.7188,0.8422,-2.9654
BQ100_G03,3.1102,2.9905,2.7723,4.1351
HML,0.4192,0.8293,0.5078,3.7712
t,0.4457,0.4655,0.5192,2.0994
p,0.6693,0.6658,0.6196,0.0475
