Group_BQ100,beta_G01,beta_G03,AvgRet,Alpha
BQ100_G01,1.8745,0.0238,0.8733,-1.6172
BQ100_G02,2.4681,-1.2492,1.0531,-0.0904
BQ100_G03,2.6334,2.4611,2.409,-0.9182
HML,0.7589,2.4373,1.5357,0.6989
t,0.7009,3.6029,1.3261,0.3875
p,0.506,0.0227,0.2264,0.7021
