Group_BQ100,REV_G01,REV_G03,AvgRet,Alpha
BQ100_G01,2.6225,2.348,2.1515,-0.7546
BQ100_G02,2.6824,2.4375,3.1046,-2.5367
BQ100_G03,2.9904,1.1317,2.3051,1.7632
HML,0.368,-1.2163,0.1535,2.5179
t,0.5439,-2.2696,0.2584,1.1491
p,0.6034,0.0858,0.8035,0.2629
