Group_Square,CSK_G01,CSK_G03,AvgRet,Alpha
Square_G01,2.8201,1.7311,2.1425,-0.6596
Square_G02,1.5443,1.6204,1.6113,0.7889
Square_G03,4.3498,1.5431,3.4042,-3.3821
HML,1.5297,-0.188,1.2617,-2.7225
t,1.082,-0.0957,1.1175,-1.3848
p,0.3151,0.9284,0.3007,0.18
