Group_BQ100,MIN_G01,MIN_G03,AvgRet,Alpha
BQ100_G01,2.6045,1.3333,2.15,1.1439
BQ100_G02,1.5187,0.6541,0.8644,-1.6973
BQ100_G03,2.1827,3.2746,2.2073,3.7783
HML,-0.4218,1.9413,0.0573,2.6344
t,-0.419,1.3217,0.0783,2.9194
p,0.6878,0.2568,0.9398,0.0079
