Group_AutoCorr,REV_G01,REV_G03,AvgRet,Alpha
AutoCorr_G01,3.2575,1.1317,2.3607,0.5791
AutoCorr_G02,1.8675,2.6228,2.1603,-0.6119
AutoCorr_G03,3.1702,2.1627,3.0402,-1.4953
HML,-0.0873,1.031,0.6795,-2.0743
t,-0.0581,0.7675,0.4841,-1.5681
p,0.9553,0.4856,0.6431,0.1311
