Group_AutoCorr,disconBeta_G01,disconBeta_G03,AvgRet,Alpha
AutoCorr_G01,-0.5775,2.4516,0.2492,-4.2358
AutoCorr_G02,2.8277,0.8116,2.2816,-2.6285
AutoCorr_G03,2.91,3.0488,2.9422,-2.9695
HML,3.4874,0.5972,2.6929,1.2663
t,2.3496,0.4208,2.8605,0.3913
p,0.0511,0.6955,0.0243,0.6993
